,0
414,"Crossed aphasia is a rare form of aphasia in right-handed individuals with right-hemisphere lesions. We report a man aged 67 years who developed crossed aphasia after a right posterior cerebral artery infarction involving the occipital lobe, thalamus, and medial parietal lobe. Neurological and neuropsychological examinations revealed mild anomic aphasia with preserved repetition and comprehension, left homonymous hemianopia, unilateral spatial neglect, prosopagnosia, and no apraxia. Writing showed a marked script-specific dissociation: kana writing was intact, whereas kanji writing was severely impaired and dominated by recall-failure errors (>90%), with few orthographic or component errors. One-year follow-up using the same language and writing tasks demonstrated partial improvement in accuracy but a stable error profile dominated by recall failures. This rare case indicates that selective kanji agraphia can occur in crossed aphasia due to right-hemisphere lesions and suggests impaired access to the visual orthographic lexicon with atypical hemispheric lateralization of writing functions in Japanese."
415,"Reduced or lost sensation and movement after a spinal cord injury (SCI) impairs the brain's ability to accurately localize paralyzed body parts, causing deficits in its internal body map, or ""mental body representations"" (MBR). These deficits hinder functional recovery and contribute to neuropathic pain. Medications for neuropathic pain are often ineffective and carry side-effects. Our pilot trials found that <i>in-person</i> Cognitive Multisensory Rehabilitation (CMR), a physical therapy restoring MBR, led to prolonged pain reduction, improved sensorimotor function, and enhanced brain function, to greater extent than adaptive fitness. To explore more accessible interventions for those in rural areas or with transportation challenges, we examined whether 12 weeks of <i>remotely delivered</i> CMR or exercise would (1) improve function and reduce pain; (2) increase brain activity and connectivity related to sensorimotor function and MBR in adults with SCI. Of 19 adults with SCI who consented, 15 (51±15 years old, 8±10 years post-SCI) were randomized to 12 weeks of remotely delivered CMR or exercise (45min, 3x/week). Eight reported neuropathic pain ≥3/10. The Numeric Pain Rating Scale (NPRS), ASIA Impairment Scale (AIS), and Neuromuscular Recovery Scale (NRS) assessed pain and sensorimotor function at baseline, post-intervention, and 6-month follow-up. Functional MRI included resting-state and four tasks: imagining feeling the left leg, imagining moving the left leg, whole-body movement imagery, and a sensation task. After CMR (n=8), participants improved on AIS (large effect sizes: touch: d=1.30; pinprick: d=1.21; lower limb motor function: d=1.83). Exercise (n=7) produced smaller improvements (touch: d=0.35; pinprick: d=0.36; lower limb motor function: d=0.80). CMR showed greater NRS effect sizes (core: d=1.48; upper limb: d=0.69; lower limb: d=1.25) than exercise (core: d=0.31; upper limb: d=0.74; lower limb: d=0.83). Benefits persisted at follow-up for both AIS and NRS, especially in the CMR group. Highest neuropathic pain intensity decreased in both groups post-intervention (CMR: d=-0.61; exercise: d=-0.73) and at 6-month follow-up (CMR: d=-0.55; exercise: d=-0.55). Unlike previous studies, group effects for CMR were not found due to high heterogeneity. Increased task-based activation, including in the lateral occipital cortex involved in visual body perception and spatial awareness, was seen for the exercise group (n=5). These preliminary results support the potential of remotely delivered CMR and exercise to improve function and reduce neuropathic pain in adults with SCI, highlighting the need for larger trials. Clinicaltrial.gov: NCT05870189."
416,"A key challenge in neuroscience is inferring relationships between brain structure and function from high-dimensional, multimodal neuroimaging data. While conventional multivariate approaches often simplify statistical assumptions and estimate one-dimensional independent sources shared across modalities, the true relationships between latent sources are likely more complex-statistical dependence may exist both within and between modalities and span more than one dimension per modality. Here, we introduce Multimodal Subspace Independent Vector Analysis (MSIVA), a method for capturing both joint and unique vector sources from multiple data modalities by defining cross-modal and unimodal subspaces with variable dimensions. MSIVA enables flexible estimation of varying-size independent subspaces within modalities and their one-to-one linkage to corresponding subspaces across modalities. Crucially, it captures subject-level variability at the voxel level within independent subspaces, in contrast to traditional methods that share identical independent components across subjects. We evaluated three initialization workflows with five candidate subspace structures in multiple synthetic datasets and two large multimodal neuroimaging datasets, including structural MRI (sMRI) and functional MRI (fMRI). After confirming that MSIVA successfully recovered ground-truth subspace structures in synthetic data, we applied MSIVA to identify latent subspace structures in neuroimaging data. Subsequent subspace-specific canonical correlation analysis, brain-phenotype prediction, and voxelwise brain-age delta analysis revealed that MSIVA sources were strongly associated with multiple phenotype variables, including age, sex, schizophrenia, lifestyle factors, and cognitive functions. Further, we identified modality- and group-specific brain regions related to age (for example, cerebellum, precentral gyrus, and cingulate gyrus in sMRI; occipital lobe and superior frontal gyrus in fMRI), sex (for example, cerebellum in sMRI, frontal lobe in fMRI, and precuneus in both sMRI and fMRI), and schizophrenia (for example, cerebellar, frontal, and insular cortices in sMRI; occipital pole, lingual gyrus, and precuneus in fMRI), shedding light on linked phenotypic and neuropsychiatric biomarkers of brain structure and function."
417,"Autonomous sensory meridian response (ASMR) is a tingling sensation that originates in the occipital region and spreads along the neck and spine, elicited by specific audiovisual stimuli known as ASMR triggers. The characteristics of ASMR-related changes in brain activity relative to other external stimuli, and whether these changes are specific to ASMR, remain unclear. The aim of this study is to compare changes in functional connectivity during exposure to ASMR triggers and classical music, and to clarify the changes in connectivity that are more strongly associated with ASMR trigger listening. Forty-eight healthy adults without a history of psychiatric disorders underwent functional MRI under three conditions: resting state without auditory stimulation, listening to ASMR triggers, and listening to classical music. Functional connectivity during the ASMR and classical-music conditions was assessed relative to the resting state. As a result, functional connectivity between the medial prefrontal cortex and the right lateral parietal cortex increased during ASMR trigger listening compared to rest. Relative to classical music listening, ASMR trigger listening increased functional connectivity between the medial prefrontal cortex and the right lateral parietal cortex, between the left anterior insula and left supramarginal gyrus, and between the right rostral prefrontal cortex and the anterior cingulate cortex. No significant changes in functional connectivity were observed during classical music listening alone. These findings suggest that, compared with classical music listening, ASMR trigger listening is associated with stronger functional connectivity between specific ROI pairs involved in self-referential/internal evaluative processing and sensory integration."
418,"The present study employed event-related potential (ERP) technique combined with random dot kinetograms (RDK) tasks to investigate visual motion processing in methamphetamine group, heroin group, and healthy controls. Two RDK conditions with 80% and 100% motion consistency were used to record transient ERP components (N1, N2, P2) and analyze group differences in visual motion processing. ① No significant group differences were found in N1 amplitude or latency (all p > 0.05); ② Heroin group showed significantly different N2 amplitudes from healthy controls at occipital O1/O2 electrodes (F (1, 49) = 4.534, p = 0.038, η<sup>2</sup><sub>p</sub> = 0.085), while no N2 differences were observed in methamphetamine group; after controlling for smoking frequency as a covariate, the main effect of group became non-significant (F (1, 45) = 2.660, p = 0.110, η<sup>2</sup><sub>p</sub> = 0.056); ③ Methamphetamine-dependent individuals exhibited significantly reduced P2 amplitude relative to healthy controls at fronto-central electrodes including Fz and FCz (F (1, 43) = 4.713, p = 0.036, η<sup>2</sup><sub>p</sub> = 0.099). A similar reduction in P2 amplitude was observed for heroin-dependent individuals at frontal and fronto-central electrodes including Fz, FCz, and FC4 (F (1, 45) = 5.988, p = 0.018, η<sup>2</sup><sub>p</sub> = 0.117). A Mixed-design repeated-measures ANOVAs further revealed a significant main effect of group on P2 latency at frontal sites (F7, F3, Fz, F4, F8, FC3, FCz) (F (2, 64) = 9.087, p < 0.001, η<sup>2</sup><sub>p</sub> = 0.221) and at central sites (C3, Cz) (F (2, 64) = 4.837, p = 0.011, η<sup>2</sup><sub>p</sub> = 0.131). Post hoc comparisons indicated that P2 latency was significantly shorter in the healthy control group than in the two addiction groups. Chronic methamphetamine and heroin use impairs visual motion processing, with distinct neural mechanisms possibly mediating the effects of different addictive substances on fronto-parietal visual integration networks. The research team used event-related potential (ERP) technology to explore the sensory and perceptual brain functions of individuals with substance addiction (including methamphetamine group and heroin addicts); based on the random dot kinematogram (RDK) experimental paradigm, the study revealed that the abuse of psychoactive substances impairs not only the frontal lobe but also the parietal cortex, thereby providing a new brain region-based basis for intervention in subsequent treatment."
419,"To determine whether the rates of pathological and physiological high-frequency oscillations (HFOs; 80-200 Hz) differ between non-rapid eye movement sleep (NREM) and propofol anesthesia (PA). We retrospectively analyzed 11 patients with drug-resistant epilepsy who underwent chronic intracranial EEG monitoring and intraoperative EEG recording under PA. Among 761implanted electrodes, 29 sites were classified as epileptogenic cortex (EC), defined as seizure onset sites whose resection resulted in postoperative seizure freedom. Fifty-eight sites were classified as functional cortex (motor, somatosensory, visual, or language) based on electrical stimulation mapping. None of these 87 sites exhibited interictal spikes or overlapped between epileptogenic and functional categories. We examined whether PA altered HFO rates compared with NREM. HFO rates remained stable between NREM and PA. HFO rates in epileptogenic and visual cortical sites were higher than those in other functional sites (p < 0.05). HFO rates were comparable between epileptogenic and visual cortical sites, with no significant differences in either state. Although the EC showed higher HFO rates than most functional cortices, the visual cortex displayed HFO rates comparable to the EC, with no significant differences in either state (NREM, p = 0.87; PA, p = 0.66). Under both NREM and PA, the rate of pathological HFOs exceeded that of physiological HFOs, except those generated in the visual cortex. Distinct patterns of pathological and physiological HFOs may aid interpretation of intraoperative recordings obtained under PA, although caution is required for occipital HFOs."
420,"BackgroundDepressive symptoms frequently co-occur with cognitive impairment in older adults. Although depression and cognition interact in brain activity, the underlying functional connectivity mechanisms in mild cognitive impairment (MCI) remains unclear.ObjectiveTo investigate how depressive symptoms modulate the relationship between cognition and amygdala/hippocampus functional connectivity in MCI.MethodsThis study included 138 participants (45 healthy controls and 93 MCI patients) who underwent resting state functional magnetic resonance imaging (rs-fMRI) and neuropsychological assessment using the Montreal Cognitive Assessment-Basic (MoCA-B) for cognitive function and Hamilton Depression Rating Scale (HAMD) for depressive symptoms. Seed-based functional connectivity analysis was performed using bilateral amygdala and hippocampus as seed regions to quantify the HAMD × MoCA-B non-monotonic interactions on whole-brain connectivity. Simple slopes analyses were conducted to characterize directionality changes across depression severity levels.ResultsWhole-brain analyses revealed significant HAMD × MoCA-B interaction effects (cluster p value < 0.05, voxel p value < 0.01, GRF corrected) demonstrating symptom-dependent reorganization of cognition-FC relationships. Amygdala connectivity decreased to anterior/middle cingulate and precuneus but increased to triangular part of inferior frontal gyrus (IFGtri), medial superior frontal gyrus, and cerebellar lobule IX. Hippocampal connectivity decreased to cuneus, insula, thalamus, and caudate but increased to opercular part of inferior frontal gyrus (IFGop), orbitofrontal cortex, and cerebellar lobule VIII.ConclusionDepressive symptoms alter amygdala and hippocampal FC relationships with cognition in MCI. Depression-dependent hippocampal/amygdala connectivity changes with the frontoparietal network (FPN-A)-particularly IFGop/IFGtri and cerebellum-suggest their role as critical hubs for emotional-cognitive integration, highlighting them as potential neuromodulation targets for cognitive and depressive symptoms in MCI."
421,"<b>Background:</b> Childhood maltreatment is associated with behavioural dysregulation, including heightened impulsivity, but the psychological and neurobiological pathways linking early adversity to impaired self-regulation remain unclear.<b>Methods:</b> This study tested theory-informed statistical mediation models to examine whether specific childhood maltreatment subtypes were associated with impulsivity through region-specific cortical thickness and personality traits. Sixty-one healthy adults completed the Childhood Trauma Questionnaire, NEO Five-Factor Inventory, and Barratt Impulsiveness Scale, and 59 also underwent 3 T structural MRI. An exploratory extension was conducted in an affective disorder cohort.<b>Results:</b> In healthy adults, associations between maltreatment and attentional, motor, and non-planning impulsivity were primarily indirect through personality traits. Physical neglect was associated with lower agreeableness and conscientiousness, whereas emotional neglect was associated with higher neuroticism and lower conscientiousness and extraversion. Cortical thickness further contributed to these pathways, particularly in the anterior cingulate cortex and ventral medial-orbitofrontal regions. In the affective disorder cohort, the maltreatment-personality-impulsivity structure was partly retained, but cortical involvement differed, with pathways involving ventral cingulate, lateral prefrontal, and medial orbitofrontal regions. These clinical findings should be interpreted as exploratory.<b>Conclusions:</b> Findings support a multilevel framework in which childhood maltreatment is statistically associated with impulsivity through personality traits, with additional contribution from cortical thickness in regulatory brain systems. Clinical context may be associated with differences in neurobehavioral organisation linking early adversity, personality, and impulsivity."
422,"This study aimed to investigate the regulatory roles of distinct neuronal subtypes within the anterior cingulate cortex (ACC) in acute seizures and to identify cell type-specific mechanisms underlying seizure modulation in this region. Acute seizure models were established in mice via pentylenetetrazol injection. In vivo fiber photometry and miniscope calcium imaging were employed to monitor neuronal calcium activity, and multichannel electroencephalography was used to record brain electrical signals simultaneously. Subsequently, bidirectional chemogenetic and optogenetic manipulations were performed on calcium/calmodulin-dependent protein kinase II (CaMKII) excitatory neurons and vesicular γ-aminobutyric acid (GABA) transporter (vGAT)-expressing GABAergic interneurons, as well as parvalbumin (PV) and somatostatin (SST) interneuron subpopulations. Calcium recordings demonstrated that both excitatory and inhibitory neurons in the ACC exhibited significant, temporally coordinated hyperactivity during acute seizures. Inhibition of CaMKII neurons significantly reduced seizure severity, whereas their activation induced spontaneous seizurelike activity. Enhancing GABAergic interneuron activity significantly decreased seizure frequency and severity. Notably, inhibition of GABAergic interneurons resulted in markedly more severe seizures. Further examination of interneuron subtypes revealed functional heterogeneity; activation of SST interneurons effectively suppressed seizures, whereas PV activation did not produce significant antiseizure effects. Critically, inhibition of either PV or SST interneurons triggered spontaneous seizurelike activity, indicating that both subtypes are necessary for maintaining network stability. This study elucidates the differential roles of ACC neuronal populations in acute seizure dynamics. Activating GABAergic interneurons or inhibiting CaMKII-positive neurons effectively suppresses seizure activity. Among interneuron subtypes, SST activation reduces seizures, whereas PV activation does not. However, inhibiting either subtype triggers spontaneous epileptiform activity, indicating both are indispensable and play complementary roles in maintaining network homeostasis. These findings reveal the microcircuit mechanisms by which the ACC modulates acute seizures, highlighting that cortical stability relies on both the classical excitation-inhibition balance and the cooperative interplay of multiple interneuron subtypes."
423,"Functional Neurological Disorder (FND) is increasingly understood as a disorder of brain functioning rather than structural damage. While contemporary predictive coding models have provided important insights into the generation of functional symptoms, they offer limited explanations for vulnerability, developmental risk, and the striking association between FND and adverse life experiences. A substantial body of evidence indicates that early-life stress, trauma, and chronic adversity are overrepresented in individuals with FND and are associated with enduring neurobiological alterations in brain systems central to emotional processing, interoception, and motor control. In this paper, we propose that stress-related neuroplasticity constitutes a key developmental substrate that predisposes the brain to maladaptive learning processes, increasing the likelihood that salient bodily states become rigidly encoded and persist as functional symptoms. We review evidence linking trauma exposure to long-lasting changes in limbic, paralimbic, and sensorimotor circuits implicated in FND, including the amygdala, anterior cingulate cortex, insula, orbitofrontal cortex, and supplementary motor areas. We further examine autonomic and neuroendocrine abnormalities and gender-related biological factors that may amplify these effects. We argue that these convergent findings support a model in which FND emerges from excessive, stress-biased neuroplasticity that promotes overlearning of bodily predictions, rather than from a primary failure of belief updating. This framework provides a coherent account of vulnerability, symptom persistence, and heterogeneity in FND, and offers a biologically grounded bridge between developmental risk factors and contemporary computational models of functional symptoms."
424,"Frontotemporal dementia (FTD) and primary progressive aphasia (PPA) are complex, partially overlapping neurodegenerative syndromes primarily affecting the frontal and temporal lobes, resulting in deficits in behaviour, executive function and language. FTD is among the leading causes of early-onset dementia and has several subtypes, including behavioural-variant FTD (bvFTD) and PPA. PPA is subdivided into three main variants: non-fluent variant PPA (nfvPPA), semantic variant PPA (svPPA)/semantic dementia (SD) and logopenic variant PPA (lvPPA), each characterized by distinct language and cognitive impairments. Although these syndromes are clinically distinguishable, overlapping cognitive, behavioural and neuroanatomical features are common. To provide a comprehensive quantitative synthesis of the associated neuroimaging findings for each subgroup, we conducted an activation likelihood estimation (ALE) meta-analysis of structural and functional neuroimaging studies across bvFTD and the major PPA syndromes. The analysis included coordinate-based data from 114 studies comprising 8057 patients. Across syndromes, patients showed widespread brain abnormalities relative to healthy controls, involving frontal, temporal and parietal cortices as well as subcortical and limbic regions, including the basal ganglia and thalamus. Each FTD subtype demonstrated distinct, yet partially overlapping, patterns of degeneration. bvFTD showed prominent degeneration in the frontal and medial temporal lobes, insula, cingulate cortex and limbic system, consistent with impairments in social cognition and disinhibition. svPPA/SD exhibited focal atrophy in the anterior temporal lobes, disrupting the semantic network and impairing semantic processing. nfvPPA was associated with degeneration in the speech production network, particularly the insula and inferior frontal gyrus. lvPPA displayed left-lateralized abnormalities in the posterior temporal and inferior parietal lobes, affecting language function. In addition to these prototypical patterns, overlapping regions were observed between specific syndromes, including shared involvement of anterior temporal and limbic regions in bvFTD and svPPA/SD, frontal-insular regions in bvFTD and nfvPPA and lateral temporal regions in svPPA/SD and lvPPA. Together, these findings provide a robust synthesis of distinct and overlapping neuroanatomical alterations across FTD and PPA syndromes, clarifying how syndrome-specific and shared patterns of degeneration may contribute to clinical heterogeneity."
425,"The primate anterior entorhinal cortex (EC) receives rich projections from the amygdala and from multimodal association areas, including the medial prefrontal, anterior cingulate, and orbitofrontal cortices. Axon terminations from these structures on the anterior EC facilitate processing of the emotional aspects of stimuli and events. The EC projects to hippocampus, which is associated with episodic memory. Processing in the anterior EC is modulated by inhibitory neurons, which in primates express the calcium-binding proteins (CBPs): calretinin (CR), or calbindin (CB) or parvalbumin (PV), which collectively account for most inhibitory neurons in the primate cortex. Here, stereological analysis of these neurochemical classes of inhibitory neurons in the anterior half of EC in humans revealed similar patterns as in rhesus monkeys. In both primate species, the densest neuronal subpopulation of presumed inhibitory neurons expressed CR, followed by CB, and lastly by PV. In both species CR neurons were most prevalent in layers I and II, CB neurons in layers II and III and PV neurons in the middle-deep layers. Moreover, the medial and lateral sectors of the anterior EC had different densities of neurons expressing these CBPs. Further analysis revealed that in the human anterior EC, virtually all PV neurons expressed the GABAergic marker GAD67/GAD1 (glutamate decarboxylase 67/glutamate decarboxylase 1), whereas only two-thirds of CB neurons and only one-third of CR neurons colocalized with GAD67/GAD1. In the entire neuronal population of the anterior half of human EC estimated by stereology, 10% expressed GAD67/GAD1, comparable to the collective population of CBP-positive neurons that colocalized with GAD67/GAD1. These findings reveal that the medial and lateral sectors of anterior EC have distinct inhibitory microenvironments, which likely affect the processing of input and output of hippocampus."
426,"This report presents a case of behavioral variant frontotemporal dementia caused by mutations in the MATR3 and NOS3 genes, aiming to analyze its clinical manifestations and genetic characteristics. For a case presenting with personality changes and gait abnormalities as the initial symptoms, this study conducted a comprehensive analysis of its clinical manifestations, neuropsychological assessments, cerebrospinal fluid biomarkers, head imaging changes, and genetic test results. It also discussed the possible causes based on the literature. Its main manifestations include personality changes, gait disorders, and a decline in executive functions. 18F-FDG PET shows decreased FDG metabolism in both bilateral frontal lobes, temporal lobes, and anterior cingulate gyrus, accompanied by corresponding brain atrophy, and no abnormal deposition of Aβ in both cerebral hemispheres. The related gene detection indicates mutations in the MATR3 gene (NM_018834.6: intron 11: c.1778 + 3A > G) and NOS3 gene (NM_000603.5: exon 20: c.2435C > A). There is no report of the coexistence of these two genes. The clinical diagnosis is behavioral variant frontotemporal dementia(bvFTD). The conclusion is that the mutations in MATR3 and NOS3 are likely to be associated with the pathological process of frontotemporal dementia by altering the structure and function of the encoded proteins. The identification of these variations provides new candidate gene combinations for the genetic variation spectrum of frontotemporal dementia, which should be regarded as hypothetical generative observation results. The clinical significance of these results needs to be further verified."
427,"Misophonia is a poorly understood clinical condition characterized by reduced tolerance to select trigger sounds. Whether misophonic distress and its regulation involve unique neural mechanisms compared to other forms of emotion dysregulation remains unclear. We used functional magnetic resonance imaging (fMRI) to identify putative neural signatures of misophonic reactivity and regulation compared to a transdiagnostic clinical control group. Twenty-nine adults with misophonia and 30 with high emotional dysregulation and a DSM-5 psychiatric disorder underwent an fMRI session. After the presentation of misophonic, aversive, or neutral sound cues, they either experienced emotions naturally or reduced negative affect through cognitive reappraisal. Compared to controls, participants with misophonia showed greater distress after listening to or downregulating misophonic sounds and lower distress when listening to non-misophonic aversive sounds. Listening to misophonic sounds elicited lower functional connectivity between the right insula and the left dorsomedial prefrontal cortex (dmPFC), and between the left insula and the right superior temporal sulcus, in the misophonia group compared with controls. During the regulation of misophonic sounds, the misophonia group showed increased left insula connectivity with the anterior cingulate cortex and increased right insula connectivity with the bilateral dmPFC and other sensorimotor regions compared to controls. In the misophonia group only, higher emotion dysregulation and lower habitual use of reappraisal were respectively associated with increased insula-dmPFC connectivity and with increased insula connectivity with the dorsolateral prefrontal cortex. Prefrontal cortex activation during regulation of misophonic distress was not significantly different between the two groups. Insula activity and connectivity may be key features that distinguish misophonia from other forms of emotional dysregulation. These novel findings identify candidate neural processes that may be selectively associated with misophonia, as well as processes that may be shared between misophonia and other forms of emotion dysregulation."
428,"Cannabis use is linked to elevated psychosis risk, yet the neurobiological mechanisms that couple use to symptom expression remain unclear. Because glutamatergic dysregulation has been implicated in both cannabis effects and psychosis vulnerability, we examined whether brain glutamate relates to dimensional psychosis symptoms as a function of cannabis use across the psychosis spectrum. Seventy-nine participants-typically developing controls, clinical high-risk individuals, and patients with psychosis-completed dimensional clinical assessments, detailed cannabis use surveys, urine toxicology, and ultra-high-field 7T magnetic resonance spectroscopy (<sup>1</sup>HMRS) of the anterior cingulate cortex (ACC). Linear models assessed the main and interactive effects of ACC glutamate and cannabis use on psychopathology symptoms. Self-reported cannabis use showed good concordance with urine toxicology, with strongest agreement among frequent users. Both lower ACC glutamate and higher cannabis use were independently associated with positive and negative psychosis symptoms. Notably, lower glutamate levels were associated with higher positive symptoms in cannabis users but not cannabis non-users. Exploratory analyses suggested interactions for depressive and manic symptoms, indicating that glutamatergic abnormalities may amplify the overall severity of cannabis-related symptoms. Sensitivity analyses revealed lower ACC glutamate in psychosis patients-especially cannabis users-highlighting diagnostic group differences and reinforcing the link between cannabis exposure and glutamatergic dysfunction. These findings implicate ACC glutamatergic dysfunction as a transdiagnostic correlate of symptom burden, particularly in those with psychosis who are cannabis users. Glutamate-targeted interventions and longitudinal designs will be needed to examine causal pathways linking cannabis exposure to psychosis-relevant outcomes."
429,"Chronic pain is increasingly conceptualized within a stress-related framework. However, it remains unclear whether chronic pain and prototypical stress-related conditions-such as post-traumatic stress disorder (PTSD)-show convergence in their morphometric alterations and underlying normative functional connectivity profiles. To this end, we conducted a pre-registered transdiagnostic meta-analytic study of gray matter volume alterations in chronic pain (60 studies) and PTSD (20 studies), testing convergence at two complementary levels: direct anatomical overlap and network-level convergence within normative resting-state functional systems. Disorder-specific meta-analyses revealed that chronic pain was associated with distributed volume reductions across ventromedial prefrontal, middle cingulate, and insular cortices, whereas PTSD exhibited a single cluster of reduced volume in the anterior cingulate/dorsomedial prefrontal cortices. A direct conjunction analysis identified a spatially focal overlapping cluster of reduced volume in the bilateral medial orbitofrontal/anterior cingulate area. Importantly, using normative resting-state fMRI data (HCP 7 T dataset), we found that the disorder-specific structural abnormalities were embedded within partially overlapping large-scale systems. Specifically, chronic pain abnormalities were embedded within a distributed architecture of large-scale circuits encompassing mesocorticolimbic/reward, default mode, salience, frontoparietal, dorsal attention, and somatosensory networks. On the other hand, the PTSD focal neuroanatomical alteration was embedded in a single large-scale circuit mapping onto the mesocorticolimbic/reward, default mode, salience, and visual networks. In both conditions, the mesocorticolimbic/reward circuit emerged as the most robustly involved large-scale network. Notably, the shared cluster of reduced volume showed functional integration within the mesocorticolimbic/reward and default mode networks, with neurochemical fingerprinting revealing robust spatial correspondence with dopaminergic, serotonergic, opioid, and endocannabinoid receptor/transporter maps. Overall, these findings indicate that brain morphological alterations in chronic pain and PTSD converge in a focal medial prefrontal/anterior cingulate region and that disorder-specific abnormalities map onto partially overlapping normative functional networks, particularly involving the mesocorticolimbic/reward-related system, the default mode network, and the salience network. This network-level convergence is consistent with the hypothesis that chronic pain may, at least in part, be conceptualized within a stress-related framework."
430,"Borderline personality disorder (BPD) is a chronic mental health condition associated with marked elevations in disability. Limited pharmacological treatment options are currently available, and kappa opioid receptors (KOR) have been identified as a promising treatment target. However, the KOR system has not yet been directly examined in BPD. This study examined KOR in individuals with BPD and investigated links between KOR and BPD's clinical features. Twenty individuals with BPD and 20 demographically matched healthy control (HC) volunteer participants were scanned with [<sup>11</sup>C]EKAP positron emission tomography (PET) and completed self-report and interview measures. KOR availability (volume of distribution; V<sub>T</sub>) was measured in brain regions of interest (ROIs) relevant to the pathophysiology of BPD. No differences in age or sex were observed between HCs (Mean age: 32.94; SD=8.45; 60% female), and individuals with BPD (Mean age: 33.30; SD=9.34; 60% female). In individuals with BPD, KOR V<sub>T</sub> was significantly lower in the amygdala (M<sub>diff</sub>=-8.04; 95% CI[11.40; -4.69]), anterior cingulate (M<sub>diff</sub>=-2.95; 95% CI [-5.22; -0.68]), hippocampus (M<sub>diff</sub>=-2.12; 95% CI [-3.37; -0.88]), insula (M<sub>diff</sub>=-3.58; .95% CI[-5.71; -1.46]), and frontal ROIs (M<sub>diff</sub>=-1.83; 95% CI[-3.28; -0.38]). V<sub>T</sub> correlated negatively with specific clinical features including impulsivity (r(28)=-.45 p=.013, 95% CI[-.72; -.11]) and depressive symptoms (r(28)=-.43, p=.021, 95% CI[-.70, -.07]), but not trauma symptoms. Findings demonstrate differences in KOR availability in BPD and relationships between KOR availability and clinically relevant features. Results highlight the relevance of KOR in BPD pathophysiology and further implicate the opioid system as a promising target for treatment development in BPD."
431,"Although Major depressive disorder with mixed features (DMF) is recognized as a clinically distinct subtype, its underlying electrophysiological signatures remain unknown. This study aimed to investigate subtype-specific alterations in resting-state alpha band oscillations between DMF and Major depressive disorder without mixed features (nDMF), as well as the relationship of these oscillations with white matter structure. We collected resting-state magnetoencephalography (MEG) and diffusion tensor imaging (DTI) data from 197 participants. The cohort comprised 86 healthy controls (HC), 35 patients with DMF, and 76 nDMF. We analyzed alpha band functional connectivity across all participants and, in a subsample, examined global and regional structural-functional (SC-FC) coupling. The relationship of these neuroimaging metrics with clinical features was assessed. DMF patients showed higher alpha-band connectivity between the right supplementary motor area (SMA.R) and right anterior cingulate gyrus (ACC.R) than nDMF patients, and uniquely enhanced SC-FC coupling in the left anterior cingulate gyrus (ACC.L) versus both nDMF and HC groups, which negatively correlated with the subthreshold (hypo)manic symptom items. Conversely, nDMF patients exhibited higher connectivity between the SMA.R and the right middle temporal gyrus (TPOmid.R) than both DMF and HC groups. Both patient groups shared increased connectivity between the SMA.R and the right superior parietal gyrus (SPG.R) relative to HC group. Our findings support DMF as a neurobiologically distinct subtype, characterized by a dissociable pattern of alpha band connectivity and SC-FC coupling, providing a multimodal framework for refining diagnostic precision in depressive disorders."
432,"Major depressive disorder (MDD) ranks among the foremost contributors to disability worldwide, yet its neurophysiological mechanisms remain poorly understood. Excitation-inhibition (E/I) imbalance has been implicated in MDD pathophysiology, but cortex-wide E/I ratio and its molecular substrates in MDD remain unknown. Resting-state functional magnetic resonance imaging data from 254 MDD patients and 451 healthy controls (HCs) across six sites were analyzed. The Hurst exponent, a biophysically confirmed proxy of E/I balance, was estimated using a fractionally integrated process framework. Neurobiological decoding analyses were performed to map the transcriptomic and neurochemical signatures of cortical E/I imbalance in MDD. An independent ketamine clinical trial dataset (32 treatment-resistant depression patients and 21 HCs) was used to examine ketamine-induced changes in cortical E/I balance. Patients with MDD demonstrated significantly reduced Hurst exponent values, predominantly encompassing the parietal and prefrontal-cingulate cortices. Transcriptomic analysis identified enrichment for neuronal structural organization, nucleic acid metabolism, and mitochondrial function, with preferential overlap with excitatory and inhibitory neuron-specific gene sets. Neurochemically, Hurst exponent alterations were spatially associated with GABAergic, opioidergic, serotonergic, and synaptic density distributions. Divergent group-by-treatment effects were observed in the anterior cingulate and medial prefrontal cortices, with ketamine-induced increases in TRD patients. These findings highlight that prefrontal-cingulate E/I imbalance, anchored to specific transcriptional and neurochemical substrates, may underlie the pathophysiology of MDD and the antidepressant effects of ketamine. The Hurst exponent offers a promising neuroimaging approach for probing E/I imbalance and identifying potential treatment targets in depression."
433,"The ability to dynamically adjust a behavioral response to a stimulus depending on context is of critical importance for animals. To investigate the neural basis supporting context-dependent sensory processing, we developed a behavioral task in which mice changed their response to a single whisker deflection according to a continuously present contextual cue. Through unbiased optogenetic inactivation mapping, we found that neuronal activity in sensory and motor cortices contributed to task execution and, interestingly, we uncovered an unexpected role of the retrosplenial cortex (RSC) for contextual integration. Widefield calcium imaging revealed that the RSC was the first dorsal cortical area to show context discrimination in response to whisker stimulation, followed by the whisker motor cortex. Finally, we combined optogenetic inactivation with calcium imaging to define causal context-dependent changes in sensorimotor processing. Our cortex-wide mapping experiments thus begin to define key cortical nodes for context-dependent sensorimotor transformation and highlight an important contribution of RSC."
